STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE21,Prov. Antwerpen,2022,,96.79,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2011,,82.13,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2012,,82.09,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2013,,83.23,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2014,,88.95,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2015,,85.06,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2016,,88.02,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2017,,89.86,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2018,,89.46,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2019,,92.94,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2020,,91.83,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2021,,93.09,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE22,Prov. Limburg (BE),2022,,96.34,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE23,Prov. Oost-Vlaanderen,2011,,77.21,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE23,Prov. Oost-Vlaanderen,2012,,81.18,,,
dataflow,ESTAT:TGS00047(1.0),Households that have internet access at home by NUTS 2 regions,A,Annual,PC_HH,Percentage of households,BE23,Prov. Oost-Vlaanderen,2013,,82.61,,,
