"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","NL13","Drenthe","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,97.51,,
"2","Large regions (TL2)","NL21","Overijssel","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,99.39,,
"2","Large regions (TL2)","NL22","Gelderland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.73,,
"2","Large regions (TL2)","NL23","Flevoland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.23,,
"2","Large regions (TL2)","NL31","Utrecht","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,99.48,,
"2","Large regions (TL2)","NL32","North Holland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.5,,
"2","Large regions (TL2)","NL33","South Holland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.39,,
"2","Large regions (TL2)","NL34","Zeeland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,100,,
"2","Large regions (TL2)","NL41","North Brabant","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.5,,
"2","Large regions (TL2)","NL42","Limburg","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.12,,
"1","Country","NOR","Norway","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,98.6,,
"2","Large regions (TL2)","NO02","Innlandet","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,100,,
"2","Large regions (TL2)","NO06","Trøndelag","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,99.86,,
"2","Large regions (TL2)","NO07","Northern Norway","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,99.53,,
"1","Country","POL","Poland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,91.72,,
"2","Large regions (TL2)","PL21","Lesser Poland ","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,90.2,,
"2","Large regions (TL2)","PL21","Lesser Poland ","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,90.2,,
"2","Large regions (TL2)","PL22","Silesia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,88.9,,
"2","Large regions (TL2)","PL22","Silesia","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2021","2021",,,"0","Units",,,92.9,,
"2","Large regions (TL2)","PL41","Greater Poland","BB_ACC","Share of households with internet broadband access (in % of total households)","ALL","All regions","2020","2020",,,"0","Units",,,90.7,,
